probIn scale
0.418771 10.77484
0.3821826 10.52835
0.4635057 9.316355
0.4795313 8.924762
0.4688282 8.393021
0.5232322 7.528131
0.4311916 6.085762
0.5316217 6.6961
0.5079388 7.493122
0.5438089 6.919537
0.6009567 7.124785
0.6272232 6.645341
0.5624218 7.005477
0.5654489 6.868073
0.5440251 7.585402
0.573688 6.950922
0.5693989 7.435635
0.5048836 7.109958
0.5545517 6.401811
0.5573553 6.307458
0.5278756 7.031048
0.5208532 7.082164
0.5359633 7.081515
0.6262482 6.189906
0.6038165 6.10085
0.6742947 6.762448
0.6164175 7.747589
0.5890004 7.441891
0.6167797 6.796176
0.6006279 5.785524
0.6369914 6.117373
0.6449025 6.506733
0.6207512 5.74979
0.6894327 5.18771
0.7305578 4.754395
0.6707983 5.079597
0.6650846 5.683369
0.6266034 5.429353
0.6497466 5.602209
0.5007722 5.264926
0.5569753 5.1401
0.6366003 5.243453
0.5676832 6.021209
0.6004115 5.835025
0.5744621 6.224298
0.5886982 6.036216
0.570159 6.755603
0.5537022 7.304589
0.5030312 6.759958
0.5033477 7.264771
0.5416724 6.208037
0.6254214 7.082001
0.5744576 5.811498
0.6603512 6.43132
0.6775922 5.267767
0.584336 6.533961
0.5889612 5.643376
0.5482049 6.741737
0.5839925 6.841107
0.5174514 6.781449
0.5630887 6.067039
0.6412253 6.456964
0.7071217 5.741796
0.6389367 5.801757
0.6528314 5.371142
0.6535537 5.070904
0.6265441 4.45195
0.6738838 4.788492
0.7089807 5.580015
0.7082197 5.339303
0.6881523 4.818294
0.5836399 4.840547
0.662147 5.533762
0.6827608 5.058067
0.6446886 4.554299
0.6806478 4.642156
0.6404776 4.404584
0.7302223 4.324261
0.7111898 4.45205
0.7135218 4.348185
0.7558722 4.319081
0.7087044 4.919206
0.6781456 5.088953
0.7573754 4.770796
0.6893488 4.552745
0.6880271 4.669953
0.7273315 4.28424
0.7408572 3.815577
0.7266723 3.794653
0.6589596 3.900147
0.6983155 3.89143
0.7098888 4.113308
0.7779873 4.358958
0.759469 4.920543
0.7945043 4.422659
0.7525649 4.670987
0.7257495 4.655893
0.6710434 4.50546
0.7426327 4.152347
0.7327021 4.275073
0.6849545 4.550613
0.716538 4.56846
0.733998 4.703546
0.6475855 4.514814
0.6436506 3.821801
0.672976 4.014982
0.7065428 4.36138
0.7248567 3.949709
0.7989455 3.883464
0.8286716 4.150229
0.8177939 4.461767
0.7989451 3.96481
0.7707501 4.295582
0.7300724 4.392105
0.7597729 3.8502
0.7674368 3.938548
0.7510569 4.219044
0.7581493 4.145557
0.7966011 4.164532
0.8497674 3.806018
0.8073764 3.927386
0.7089151 4.215777
0.7629007 4.272906
0.6952576 4.343427
0.6328319 4.278087
0.7071589 4.619594
0.6681674 4.566116
0.7560969 4.959319
0.7056494 4.277758
0.7015297 3.802455
0.7402622 3.656048
0.7179193 3.442514
0.7707742 3.516597
0.7782652 3.422767
0.7687177 3.380384
0.7118159 3.07624
0.7018886 2.840481
0.6676317 3.031473
0.6452484 3.188796
0.7800918 3.180308
0.7477453 3.256476
0.7617653 3.011717
0.7367775 3.142332
0.7275874 3.38198
0.821865 3.043693
0.7408852 3.47338
0.774068 3.598992
0.7900367 3.297614
0.8749619 3.201044
0.8753812 3.302816
0.8163775 3.354765
0.8675817 3.394702
0.8356658 3.351771
0.7830136 3.604109
0.6822735 3.634224
0.708595 3.595142
0.719363 3.718931
0.7246971 3.86681
0.6841119 4.210544
0.7283504 3.911404
0.7463032 3.838544
0.7574623 3.875727
0.7644648 3.954976
0.7408292 4.03608
0.7351954 4.274533
0.7379745 4.169707
0.8070874 4.166575
0.8242188 3.935091
0.8064924 3.964051
0.7827556 3.90973
0.7674257 3.810358
0.7301447 3.637929
0.7981116 3.630177
0.803905 3.428108
0.7977483 3.249099
0.837729 3.089205
0.7651391 2.921979
0.8137722 3.013482
0.834673 2.915265
0.7368023 3.05766
0.791183 3.121138
0.7754175 2.926526
0.7969645 3.079724
0.7399618 3.230105
0.7215812 3.355775
0.7847758 3.525346
0.8226161 3.416551
0.8180847 3.222505
0.8690035 3.794084
0.8919418 3.437371
0.863474 3.375405
0.8671046 3.373283
0.8555636 3.333707
0.8258143 3.314949
0.8013835 2.842351
0.862373 2.926249
0.846454 3.257785
0.8663372 3.468664
0.863428 3.053361
0.8904364 3.13053
0.8444454 2.797815
0.7526637 3.149071
0.7442059 3.255392
0.7477601 3.368684
0.7845436 3.089491
0.7103805 2.997549
0.7175934 4.00321
0.7229762 3.629787
0.6742829 3.468696
0.7097155 3.329068
0.6598234 3.387009
0.7137382 3.663091
0.7346122 4.519016
0.6132829 4.158363
0.6886969 4.519851
0.7496381 5.30449
0.7207669 4.799094
0.7857724 4.890884
0.7359924 4.978893
0.7739482 5.107506
0.7687805 5.473305
0.6595802 4.943423
0.5851039 4.539971
0.6782583 4.252086
0.6797822 4.298722
0.6999297 4.252514
0.7288889 3.759026
0.782423 3.987919
0.8674243 3.756239
0.8481248 3.650324
0.8166251 3.598168
0.8072117 3.272129
0.7808547 3.432104
0.7684426 3.528304
0.704359 4.743907
0.691821 4.883778
0.6920506 5.187623
0.7165594 5.108262
0.6426717 4.735116
0.6324741 4.889146
0.6561139 5.845619
0.6722273 5.626628
0.7162909 4.817205
0.7526813 4.541
0.8033925 4.027299
0.8024988 4.136663
0.8470426 3.982776
0.7187789 3.943623
0.7308126 4.110071
0.6358974 4.404979
0.6557356 4.597255
0.6586629 4.165957
0.6957227 4.558529
0.7551952 4.254606
0.6864333 4.260343
0.6756516 4.644274
0.7427818 4.75198
0.7446711 4.734283
0.6521422 4.485822
0.7057182 4.502665
0.6786296 4.146555
0.7285668 4.676338
0.8272177 4.426245
0.8272177 4.447618
0.8178328 4.662247
0.7824262 4.201999
0.7769041 4.307742
0.8001706 3.972509
0.7341447 4.778388
0.7238267 5.123918
0.6539212 5.156806
0.6912164 5.002204
0.7406396 5.175856
0.6727493 5.036156
0.6101595 5.2241
0.6597302 5.002849
0.6919178 3.95669
0.6684086 3.530251
0.6790815 3.645108
0.7195783 3.751171
0.8003112 4.049469
0.7569066 3.616075
0.7987607 3.754177
0.7501769 3.205732
0.7200367 3.450341
0.7742246 3.497436
0.7957055 3.48214
0.8184655 3.21665
0.7228123 3.098133
0.7395622 3.620335
0.7572297 3.474937
0.7118323 3.770361
0.7392908 3.972855
0.7470361 3.600643
0.7082756 3.850163
0.6592243 3.879256
0.6751978 4.790289
0.6224531 4.412125
0.6763516 4.951411
0.7217518 4.547255
