probIn scale
0.1929098 0.4901688
0.1288759 0.4387438
0.1031253 0.4898017
0.1073616 0.5140976
0.1202241 0.531679
0.1142887 0.5802442
0.09494139 0.6452353
0.08383282 0.6592202
0.1143197 0.6658508
0.1147284 0.6757047
0.09547449 0.7267138
0.08746685 0.8015338
0.09238 0.9371933
0.0591959 0.9346379
0.06920423 1.119138
0.06891149 1.215586
0.05430437 1.32009
0.07148411 1.387847
0.05284719 1.191435
0.07245666 1.234635
0.07064444 1.297213
0.08733117 1.428585
0.07379198 1.494979
0.0702486 1.503284
0.06106205 1.547325
0.07670369 1.536099
0.05450633 1.579592
0.05823475 1.589519
0.0793299 1.824603
0.08227764 1.781708
0.06484267 1.795103
0.06966818 1.962373
0.07044385 1.889524
0.05934448 1.764268
0.06761405 1.661347
0.0726377 1.957649
0.07719799 2.029352
0.07792455 1.794141
0.08255248 1.731073
0.06414901 1.717509
0.08803913 1.70395
0.09098977 1.653378
0.05196225 1.596529
0.1252485 1.544298
0.07990022 1.487652
0.07405268 1.719192
0.06599611 1.897901
0.102507 1.885549
0.05508977 1.996916
0.05785457 1.83165
0.07353438 2.051386
0.06526058 1.970382
0.05841419 1.65832
0.07034344 1.72956
0.05649177 1.726473
0.0687689 1.785088
0.0768977 1.583008
0.08198671 1.515061
0.07271476 1.553192
0.07254141 1.825779
0.05231656 1.931681
0.06403609 1.724697
0.05312808 1.812505
0.08178175 2.064718
0.05717395 1.921536
0.08303751 2.125232
0.06370852 2.378414
0.06353861 2.451583
0.06950867 2.167862
0.0997049 2.21769
0.04360145 2.208242
0.06156811 2.464527
0.06635124 2.373416
0.07384674 2.174762
0.05918762 2.189183
0.06321006 1.88998
0.05610617 1.981053
0.06675778 1.965958
0.07925522 2.214596
0.05361386 2.677679
0.0604172 2.906391
0.06147012 3.109574
0.08096255 3.470168
0.04598246 3.600873
0.04295407 3.034685
0.05557518 3.142645
0.06230823 2.832048
0.04006638 2.919415
0.05679932 2.815442
0.06019755 2.872348
0.05407946 2.550064
0.06725834 2.548153
0.08978306 2.453908
0.08576037 2.767932
0.05966629 2.667393
0.03629147 2.347539
0.07429495 2.524162
0.05847059 2.597654
0.05935562 2.336247
0.07208325 2.197615
0.06779149 2.250743
0.06385222 2.804894
0.05644022 2.449337
0.08330162 2.783598
0.06700966 2.620115
0.06041681 2.797561
0.05736635 2.779703
0.05000008 2.623086
0.05406526 2.694819
0.0620561 2.781796
0.04939165 2.735528
0.0457802 2.929723
0.06362696 2.975879
0.0500674 2.975624
0.04474525 2.693647
0.07232897 2.662865
0.0561068 2.858845
0.04663153 2.575453
0.04763328 2.502056
0.03039229 2.541085
0.07277323 3.014654
0.044824 3.215037
0.06315408 3.082171
0.05631013 2.79539
0.04400837 2.792901
0.05641229 2.80701
0.06565781 2.832121
0.08259649 2.647163
0.05098509 2.772726
0.05154839 3.342095
0.07593005 3.300518
0.04003902 3.509101
0.05079126 3.756213
0.05461276 4.041917
0.06354837 3.609606
0.04361486 3.505045
0.08446586 3.80957
0.04061616 3.984149
0.06324815 4.051979
0.0632699 3.215539
0.08031574 3.111816
0.06040535 3.263316
0.06727726 3.072568
0.04358975 2.834174
0.06255099 2.608647
0.06608495 2.624154
0.04974306 2.451301
0.07348803 2.67286
0.05915141 2.738736
0.05426034 3.064123
0.07433653 3.087952
0.079108 2.731394
0.05256368 3.061586
0.06581573 3.306391
0.04988434 2.653243
0.04893703 3.049031
0.0394616 3.113099
0.07653344 3.292409
0.05858417 3.301756
0.058384 3.296712
0.06795282 3.342251
0.05817191 3.298883
0.06572107 3.191249
0.08098985 3.440991
0.05127358 3.489165
0.03521322 3.562874
0.06855215 3.799558
0.04922378 4.01076
0.06868688 3.662012
0.06436113 3.907119
0.05594031 4.045124
0.06040386 3.575754
0.06266097 3.240619
0.05076103 3.557255
0.06193847 3.417031
0.06936931 3.567772
0.044513 2.924051
0.0901472 3.340517
0.07127937 3.646381
0.05872649 3.327491
0.04443903 3.205942
0.05579509 2.996588
0.06310945 2.793733
0.05646928 2.961185
0.04087847 2.934001
0.07039399 2.772786
0.04591306 3.248404
0.0596682 3.397667
0.0528633 2.970221
0.06746272 3.001427
0.05976438 3.078651
0.06515245 3.345663
0.05727139 3.694607
0.05692246 4.085318
0.05708015 4.508207
0.0469626 3.928768
0.04972418 4.159436
0.07073762 4.070704
0.03589901 3.911552
0.05781256 3.642784
0.08687789 3.475033
0.04062598 3.656763
0.04189757 3.398482
0.05978015 3.439087
0.0644818 3.068739
0.0694386 3.159627
0.05923668 3.480819
0.02938027 3.243129
0.04578454 3.139881
0.06906331 3.850742
0.04201331 3.750014
0.0696 3.877962
0.05632846 3.300452
0.0463558 3.864925
0.04402457 4.29267
0.07452814 4.433784
0.04187461 4.756801
0.08252327 5.06084
0.03635661 4.470567
0.04654665 4.35181
0.05347961 4.000402
0.04869072 4.157434
0.05542432 4.455287
0.0817226 3.557502
0.05811956 4.122436
0.0501987 4.53113
0.06571629 4.63855
0.07187298 4.615206
0.04998643 4.491482
0.0499579 3.972015
0.04223224 4.32473
0.04181885 4.294713
0.0558741 4.398153
0.06370507 4.532338
0.06237094 4.483301
0.04984716 4.290116
0.07793814 4.414159
0.03733109 4.792294
0.03998994 4.556627
0.05450042 5.010787
0.04581566 4.517142
0.0639234 4.28283
0.0577195 4.439784
0.04807626 4.825846
0.0543884 4.955077
0.05832599 4.205049
0.07900867 4.406748
0.04783127 4.213863
0.06058447 4.189957
0.07218896 3.718216
0.05861638 3.85634
0.06112637 3.322646
0.07569424 3.072514
0.04640736 3.388694
0.0675085 3.292728
0.05610251 3.245196
0.03967073 3.074449
0.05169467 3.338666
0.06186131 3.398864
0.09634601 2.890176
0.07896561 3.302927
0.04032527 3.111623
0.04070452 3.270462
0.05282016 3.097537
0.05755355 3.102312
